item_id,tags,locale,region,tier,traits,content_summary
item_00024492d894bb9f,"Books, Mags, Music & Video, Bookstores, Shopping",Philadelphia,PA,1,BusinessAcceptsCreditCards=False;BikeParking=True,"Bring a flashlight, and lots of cash. BOOK at least two hours in your schedule. What you didn't even know you wanted is here somewhere. It is a tragedy that Po | This just the craziest book store ever. They are huge with lots of older . The owner is great. And I don't know how but he knows where stuff is. It's in an | This place is cinematic, to say the least. Bring your iphone because you will have to use the flashlight app in order to see inside some of the 300 rooms. Greg"
item_000317c0f3369cd2,"Airlines, Transportation, Hotels & Travel",Philadelphia,PA,-1,,"2 stars because Orlando was great. Philadelphia, however, was a one star. USAir has a lot going for it - usually well priced, lots of destinations and flights. | Today my seat in First Class smelled like urine. I'm pretty sure it wasn't me. | I really think US needs to drop all pretenses of being an airline and just put a fare box at the entrance and hand out transfers when I need to make a c"
item_000366d90f05cd30,"Coffee & Tea, Food",Philadelphia,PA,2,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;WiFi=u'free';BikeParking=True,"Best loose tea leaves! They have a variety of teas and flavors. The location is hidden from street view so a little tricky to find but worth the trip for tea lo | This is an amazing tea shop. They have wonderful tea varieties from which to choose. We particularly like rooibos decaffeinated teas, particularly Heaven, Roast | This tea purveyor is on the 3rd floor of an office building, a quiet distribution center. teas here will delight the casual or connoisseur tea lover. My"
item_0004612e81739248,"Fast Food, Restaurants, Tex-Mex, Salad, Mexican",Tucson,AZ,1,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=True;WiFi='no';BikeParking=True,"I'm not vegetarian but sometimes I feel like eating vegetarian. Not all cuisines can accommodate vegetarian, but I expect to deliver good vegetarian. | My wife and I love Tucson. You can have a different meal 7 days a week. A burrito, a salad, enchiladas, tacos, nachos and quesadillas. I dare you to try t | Everything is made to order, service is super friendly and fast and the food is good. The atmosphere is casual and you never feel cramped. I eat here often."
item_0006051f34578396,"Restaurants, Caribbean",Philadelphia,PA,1,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=True;WiFi='no';BikeParking=True,"Had their jerk chicken and oxtail with cabbage, rice and beans numerous times and it is always great. Mac and cheese is extra but another must have. This is qua | Unfortunately, I didn't eat the food here, although it smelled amazing. I ordered over the phone. When I arrived, I noticed several staff in the visible kitchen | I really don't see what the hype is all about. I should have stayed with what I know(Ron's), but I was in the area and was hungry, so I said let me give them a"
item_0006da22ec52a843,"Doctors, Optometrists, Health & Medical, Laser Eye Surgery/Lasik, Ophthalmologists",Tucson,AZ,-1,BusinessAcceptsCreditCards=True,"Everything was seamless: the check-in, exams, and consultation. Everyone was professional and friendly. The place was immaculate. Highly recommended. | Wait times were quite long yesterday. But the staff and Dr are really nice and professional and patient cause I'm a bit slow moving these days. | Efficient, polite, with excellent followup; what more could I ask. The staff are friendly but more importantly professional. Good information was provided with"
item_0009cabf8ed5ac89,"Landscaping, Tree Services, Gardeners, Irrigation, Home Services",Tucson,AZ,-1,BusinessAcceptsCreditCards=True,"Late and strange workers and still had the nerve to request money --- only did a microfraction of what should hv been done had they arrived on time and we had t | 's did an incredible job clearing the backyard, pulling out the weeds and digging up the desert brooms. Jose was responsive, personable, and s | I called 's and two other landscapers today. He came over and gave me a reasonable estimate and was able to do the work right away. He and his workers work"
item_00101b76ec200f1b,"Farmers Market, Food",Tampa,FL,1,RestaurantsTakeOut=True;BusinessAcceptsCreditCards=True;BikeParking=True,"So far, I'm really liking this place. they have some organic, some local and most of all, it's pretty ! The selection of veggies are good, the prices are | The produce variety is decent but the ness and quality of the produce is lacking. For example, if you look in the refrigerated case at the items there, you | This is a great in the neighborhood. It's nice when local shops open next to big name stores. The veggie and fruit selection was great when I came in."
item_00115f11f1271038,"Arts & Entertainment, Festivals",Tampa,FL,2,RestaurantsDelivery=False;BusinessAcceptsCreditCards=True;GoodForKids=True;BikeParking=False,"...well that was less than inspiring. I went with friends and the Beau. It was a lovely, but COLD afternoon in Tampa, with a biting wind, and I'll be honest, I | We attended the "" "" presented by ""Generation Food Truck"" for ese food but didn't get any because there were NO ese food | I have yet to make a review on Yelp at all, but this seems like a great place to start. More than anything, I'm disappointed in the behavior of the organizer(s)"
item_001478801d455875,"Restaurants, Fast Food, Mexican",Tucson,AZ,1,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=True;GoodForKids=True;WiFi=u'no';BikeParking=True,"never fails me! I can count on them for a meal that is fresh, fast, delicious and affordable! I LOVE having the option to go all out with meat, cheese, | This has THE friendliest staff! They are always in a good mood, give great service and put everyone else in a great mood as well. | A buddy of mine and I eat here every week. The staff recognizes us and even remembers our orders and preferences. Can't ask much more than that."
item_001d2a6b194fa78d,"Real Estate Services, Commercial Real Estate, Real Estate, Home Services, Apartments, Property Management",Philadelphia,PA,-1,BusinessAcceptsCreditCards=True,"Avoid renting with . Maintenance problems were dealt with late (if ever) and only after many, many phone calls placed by one or all three of us. But wor | unprofessional; unresponsive; rude; awful. I could keep going, but I think you get the point. Do not rent any apartment managed by this company. | I lived under for about 2 years. In terms of property management, they weren't bad. They usually got back to me in a timely manner and answered most of m"
