task_id,passage,difficulty,slate,chosen_item_id
task_tr000000,The place is wonderful. 5 star service with delicious food ranging from Chinese to Malay and Thai. We came in very near closing time and had a very slow eating 5 yr old - and,t2,item_1a0882c66d87ba02;item_b76e431f895cbeba;item_e67f6b25085b3d5a;item_125ece4990eb912b;item_d7c04cc40523924b;item_05aef4f50ca7b210;item_772486725e90a83f;item_4286007cf6e9ebd2;item_a1809766d4470038;item_8385c84ba7378e3b;item_db1ab9bd5adf5318;item_90d57a5a9b025041;item_b8760b7420108a8c;item_389ca235f682b092;item_8d1ae3be2f534f58;item_904b98823ae016b6;item_35acc245a2d609e2;item_e4668233b4575f91;item_6374deefb05707f3;item_3af9da88929a42d2,item_6374deefb05707f3
task_tr000001,"I have been coming here for years. My brother got me a full at the years ago for Christmas. I was surprised to see how beautiful the area was, Considering from the look",t3,item_5179393698516fcc;item_98f4ce4f606a5bc3;item_1203dd9b9f96485b;item_d2a8b16df0695ca8;item_b8d885177ee555c6;item_9b9c74868d61e1c5;item_6647c74f338afe7a;item_4a50295684a0dc00;item_07c59ee8b5c30277;item_edb5e9268dfc5cc0;item_2cf072b219cefbf4;item_3dc599ab3fa54e49;item_8c1ed5145652559f;item_9f3ef44b68978e8c;item_6627cbb145bbda97;item_d3749fa5be4acdcb;item_ecc2a189e9c0cb50;item_8a6013abd69fec59;item_6f73544eff0faed8;item_ae6544ed6cff26b3,item_4a50295684a0dc00
task_tr000002,They is so good. Wish they had later hours honestly. But it's really good their chicken is super tasty. Every time I've gone I've gotten the like French fry nachos. I forgot what t,t5,item_75f079916c92693f;item_01f406837eebc1ab;item_4358da0c2c46506d;item_7e07662d8960f254;item_2a94648656cacdbf;item_8d3b2cb90e7cb11c;item_033b1bbcee4242fa;item_f170e01222cf52e9;item_2250cd4944fd43fd;item_2f8f796597ec123a;item_ad18d3a793e0184f;item_da479786ba67e5ec;item_b066135c28f42985;item_b96cd33f6865900c;item_6eca5e1188406213;item_2daf0026258394b5;item_dfe848cc11adfa9b;item_6d9016893d7f41c9;item_8b957bce3acb32b5;item_459205865a9da2da,item_2250cd4944fd43fd
task_tr000003,"Blink and you might miss this place. But I'm so glad that has finally made its way to Tampa! Took y'all long enough! As the newest addition to the Tampa boba scene, they b",t5,item_6053fb72ee2ff89b;item_bf20e679d971773c;item_f80816dbbaa35d62;item_ab1c9fda1cf9da39;item_0fc6c762ea1328b5;item_6f530632ce171448;item_d288dab3617e6ec0;item_56829ef6efe9354b;item_9446ab0685a5f1dd;item_d8ef6e043c1b626a;item_76f55d1da7723c0e;item_eaf2933b3c163641;item_a1e5519f3328098b;item_a71e7b02a2e8d526;item_82db01c0470ac64e;item_0aaa121fba6fae08;item_fb728c9488c525cb;item_870337e346eda07a;item_773a35b5f7364a1f;item_ff876f82c7abf438,item_bf20e679d971773c
task_tr000004,"I once gave them 5 star rating, but that was more than a year ago. They have since become a 3.5 star, as their service has gone down and the delivery time has gotten longer. The fo",t4,item_0a7cb704dea9165a;item_94e64e8f52595e54;item_0371adf6cb48bdbb;item_a2e6e8ab18914c4c;item_10afcf14300f46b0;item_a8b0bbe2620479c1;item_c63856cbfde55d31;item_a9951ae3c170f880;item_5594831ddeb811ba;item_8a96cb40a97b20ff;item_0e8dfb14fe991df4;item_62ebf85d1537db84;item_2fce5627cfc1ea15;item_554ad27faba16a47;item_dd54d9d34f1f2494;item_d8b06426dda357ea;item_804339371bed1934;item_4721aa53bd1f2e51;item_b066135c28f42985;item_1833c72b1ef40a72,item_a8b0bbe2620479c1
task_tr000005,"was the best DJ! He was patient offered great suggestions. He made our wedding flow so well! He was full of energy, so fun so kind!! He filled in the blanks for us",t1,item_7932844a4c1fc518;item_c2974c0bfb83467f;item_6cef31ed9d5fde6b;item_6a8a78f63e0b9718;item_32c3f9ab15b0e344;item_c05cbb11505c130a;item_931f0ebadbb979cf;item_4d182d0a75b4872d;item_9526100b50c021e7;item_7f19e80e36c3180d;item_f76b836a9a2cf5f2;item_5d9093e9669527f3;item_1245f732f1d6ef12;item_06d2ce95a8831f06;item_f80799e6b27c837e;item_c06e0c5dc0e740f6;item_7f7556d4f5d7dce4;item_7a6204b8f93066db;item_4b1c32406348f072;item_628bcf3410c35a78,item_f80799e6b27c837e
task_tr000006,"Hours are odd and the staff can be a bit pompous, but is good.",t2,item_37976d03dd0d442d;item_77b595d33f2195b8;item_ebb01e5287a3d4b9;item_f95a2dd0bd072e77;item_fdebfedb4a4390bf;item_fda67f31d0a5dfcb;item_ed550043a37d29b2;item_c367236b5f2ee7dc;item_163e2b473b414142;item_9f70f9d1bcdaaee5;item_747a6212c3baa0a0;item_509538e1c855b807;item_dbc32d661e19fe1e;item_42af3ccb8ffb3971;item_f7744ce173ff54bc;item_9da35267f2a72008;item_eec6bed0c3b9a707;item_f167492096fd8b49;item_40a74640b930e06f;item_c9eaf231f63cb736,item_f167492096fd8b49
task_tr000007,This is not the 's it used to be. We've been coming here for years and have always had 5 star service. The food was ok but service was awful. Servers could barely keep our drink,t5,item_64f1b915cd831bc6;item_9bd00ddcff78d251;item_b9db5c1013ea3adf;item_bef098442d62c00d;item_a8af5276af4421dc;item_2de2a10d7ebc2cd9;item_22b614e0b5b01492;item_cf73f50bb2607811;item_404db1d17acc85d9;item_bf8507066d112340;item_7f63557120cbe22e;item_54632be6d9bb0c2b;item_479d3d4b964b5ab6;item_98f07b36ef07e764;item_2cc157f2076bebc6;item_57b68efa30b7e92d;item_d96b4e946068d7d2;item_c5cd419be4a1e743;item_4acd21a82789e71d;item_4faab3b663ffaa11,item_2de2a10d7ebc2cd9
task_tr000008,Food under seasoned. Use to authentic tacos with a lot of spices and sauces. Will return if in the area.,t1,item_4af91b00f120aff8;item_17f8d8536784c16a;item_1373116b1ab4cea3;item_d8ef6e043c1b626a;item_eaf2933b3c163641;item_c928639e54cdfc19;item_e5cd5d80326146c7;item_4c56b6127dbcbd7c;item_d8a7715c6adbb340;item_30bd7a653603cb5f;item_a93cc3f78402ee88;item_9fe9724057903221;item_377a7f52b8704f70;item_b20cfe25df1836b3;item_d4fd25b28a6691af;item_cef489389e6e0753;item_5781c3a6f40b5228;item_78917c99c5ba060f;item_a25c8e267b560182;item_970a0fdb7afa3c35,item_377a7f52b8704f70
task_tr000009,"Just finished our second kids birthday party here, First one back in June , second now in late August. Both parties we had Jess as our hostess . She is excellent . Kids enjoy the",t3,item_ca3b9d285a694d9b;item_c2955f6302aa92dc;item_15dcfee20c0ec483;item_f0e6645b38fdedec;item_da88e0b624a89ddc;item_b1a020b350549d14;item_00a8798577cab70a;item_c09db63aea48fe62;item_d2e84e3d98a1ebd6;item_44d9054981e10f00;item_ff2ef7d464a52eaa;item_a2ac21bc08f168a8;item_585e3d2b47e55f30;item_bf02757a3d8a5591;item_3570a0b79171cde0;item_753dd6633bf99faf;item_6ff26c1e124269a9;item_b3b173ced9424633;item_a6cfa2182996a5f0;item_cb032996c119f90e,item_ff2ef7d464a52eaa
